file,rand_score,ami_score,consistency_score
10_Easy_Pieces_X._Bear_Dance.pkl,0.0,0.0,1.0
"2-Part_Invention_No._1_in_C_major,_BWV_772.1.pkl",0.0,0.0,1.0
"2-Part_Invention_No._1_in_C_major,_BWV_772.2.pkl",0.0,0.0,1.0
"2-Part_Invention_No._1_in_C_major,_BWV_772.3.pkl",0.0,0.0,1.0
"2-Part_Invention_No._1_in_C_major,_BWV_772.pkl",0.0,0.0,1.0
"2-Part_Invention_No._4_in_D_minor,_BWV_775.pkl",0.0,0.0,1.0
"2-Part_Invention_No._8_in_F_major,_BWV_779.pkl",0.0,0.0,1.0
316.pkl,0.0,0.0,1.0
"44_Duos,_No._14_Cushion_Dance.pkl",0.0,0.0,1.0
500_Miles_High.pkl,0.0,0.0,1.0
5th_Symphony.pkl,0.0,0.0,1.0
A_Breeze_From_Alabama.pkl,0.0,0.0,1.0
Honestly_Love_You.pkl,0.0,0.0,1.0
Horizons.pkl,0.0,0.0,1.0
If_I_Should_Lose_You.1.pkl,0.0,0.0,1.0
If_I_Should_Lose_You.pkl,0.0,0.0,1.0
If_I_Were_a_Carpenter.pkl,0.0,0.0,1.0
II._Pour_un_tombeau_sans_nom.pkl,0.0,0.0,1.0
III._Pour_que_la_nuit_soit_propice.pkl,0.0,0.0,1.0
"Nocturne_for_piano_No._8_9_in_E_minor,_H46b.pkl",0.0,0.0,1.0
"Nocturne_In_C_Minor,_Op._48_Nr._1.pkl",0.0,0.0,1.0
"Nocturne_in_F-sharp_major,_Op._15_No._2.pkl",0.0,0.0,1.0
"Nocturne_in_F_minor,_Op._55_No._1.pkl",0.0,0.0,1.0
Nocturne_in_F_No.6_H40.pkl,0.0,0.0,1.0
"Nocturne_In_G_Minor,_Op._15_Nr._3.pkl",0.0,0.0,1.0
"Nocturne_In_G_Minor,_Op._37_Nr._1.pkl",0.0,0.0,1.0
"Nocturne_No._18_in_E_major,_Op._62_No._2.pkl",0.0,0.0,1.0
"Nocturne_No._1_in_E_minor,_Op._72_Andante.pkl",0.0,0.0,1.0
No_Mystery.pkl,0.0,0.0,1.0
Sunburst_Rag.pkl,0.0,0.0,1.0
Sundance_Chick_Corea_.1.pkl,0.0,0.0,1.0
Sunflower_Slow_Drag.pkl,0.0,0.0,1.0
Wall_Street_Rag.pkl,0.0,0.0,1.0
Waltz_from_Faust.pkl,0.0,0.0,1.0
"Waltz_In_A_Minor,_Op._34_Nr._2.pkl",0.0,0.0,1.0
"Waltz_In_D_Flat_Major,_Op._70_Nr._3.pkl",0.0,0.0,1.0
Waltz_in_D_Minor_Op.54_Nr.7.1.pkl,0.0,0.0,1.0
Waltz_in_D_Minor_Op.54_Nr.7.pkl,0.0,0.0,1.0
Waltz_in_E_Minor_Opus_posthumous.pkl,0.0,0.0,1.0
Watch_What_Happens.pkl,0.0,0.0,1.0
Youre_Still_My_Man.pkl,0.0,0.0,1.0
Warning.1.pkl,0.006228637893199858,0.03258592159680936,0.9969879518072289
Warning.pkl,0.006228637893199858,0.03258592159680936,0.9969879518072289
667.pkl,0.606651010712306,0.6027870669222765,0.9383886255924171
Sunny.1.pkl,0.7823108879733061,0.6872617764698586,0.9270714012982054
Walking_in_Your_Footsteps.pkl,0.9320369597480948,0.8292786201288825,0.910980256321441
Il_pianeta_delle_parole.pkl,0.149072643971202,0.1913805543898291,0.8980815347721822
Il_saggio.pkl,0.7745851458479681,0.7015913718892208,0.8934320074005551
If_I_Fell.2.pkl,0.8712558897242698,0.71058023531657,0.8782201405152225
Hobophobic_Scared_of_Bums_.pkl,0.7004202171282328,0.6721556585265986,0.8756067961165048
Norweigian_Wood_This_Bird_Has_Flown_take_1_.pkl,0.6782865097224499,0.6531287389104667,0.8642611683848798
If_This_Is_It.1.pkl,0.6732306458897475,0.6898883486963535,0.8558558558558559
"No_Woman,_No_Cry.pkl",0.5710469147981081,0.40603664599624195,0.834189631013545
Ill_Be_on_My_Way.pkl,0.6623757796671547,0.5604102954639009,0.8289191123836793
Horizons.1.pkl,0.06320592223964967,0.1113579178303852,0.8274111675126904
Sure_Know_Something.pkl,0.7124910305371751,0.6421313779988679,0.82571299230421
1983..._A_Merman_I_Should_Turn_to_Be_.pkl,0.37499460455269495,0.4185810928307857,0.82528
Hot_Hot_Hot.pkl,0.7181506329800421,0.6163628766660593,0.8224605954465849
Ill_Be_Over_You.1.pkl,0.8319139450501054,0.627565175512343,0.813581640331076
Sun_Flower_Slow_Drag.pkl,0.16804413018923306,0.27479718434542244,0.8132763975155279
Sweet_Emotion.pkl,0.4673809757287043,0.5188130839279427,0.8111301696207357
No_Limit_extended_.pkl,0.7079264978953433,0.6201440024926986,0.8097507019484387
We_All_Need_Love.pkl,0.674019867105556,0.6666429773072715,0.8084112149532711
No_Good_Start_the_Dance_.1.pkl,0.6269305311960118,0.6208093651159329,0.8079885132489231
No_Good_Start_the_Dance_.2.pkl,0.6269305311960118,0.6208093651159329,0.8079885132489231
No_Good_Start_the_Dance_.pkl,0.6269305311960118,0.6208093651159329,0.8079885132489231
Hold_On_My_Heart.1.pkl,0.708356080567288,0.6003059905883463,0.8065580985915493
Hold_On_My_Heart.pkl,0.7081833798145177,0.600249305063597,0.8064729194187582
Honesty.pkl,-0.04661442045355676,0.12996068775313702,0.8064327485380117
Suspicion.pkl,0.4124875180071162,0.4965410295925632,0.8014081087642632
100%_Pure_Love.pkl,0.8831271595954572,0.7620395059994126,0.799475753604194
No_Reply.1.pkl,0.5376638201406064,0.5132914813651085,0.7981007431874484
War_Child.1.pkl,0.5274430292738418,0.37286429305992774,0.7977867203219315
War_Child.pkl,0.5274430292738418,0.37286429305992774,0.7977867203219315
Holding_Back_The_Years.1.pkl,0.752996316596713,0.5978306899906809,0.7917856010149065
No_Limit.1.pkl,0.41542696277197894,0.4450218455812252,0.7914453452613922
Il_mio_bambino.pkl,0.4004590428164438,0.4190560170341804,0.7913385826771654
Non_parli_mai.pkl,0.7173295407048926,0.5802380120688843,0.7907929621595565
Wave.pkl,0.5282729830377424,0.5702732142184602,0.7892069926526476
16.pkl,0.4397927498034201,0.5038838802555065,0.7877840316864707
No_Holly_For_Miss_Quinn.1.pkl,0.34558359950567263,0.297824228523294,0.7868632707774799
Holly_Holy.1.pkl,0.7984259723721029,0.6862221107364366,0.7859302559967748
Super_Freak.pkl,0.591511008258992,0.5778970310944241,0.7841047503045067
Waterfall.pkl,0.5283021088677126,0.6186424425482095,0.7837929284385045
Sweet_Child_O_Mine.pkl,0.6848412492003018,0.5677315979399804,0.7810862972153295
No_One.1.pkl,0.6978700039828152,0.6632312824812086,0.7801831806827644
Sweet_City_Woman.pkl,0.5471316388796128,0.540893963151376,0.7791837462127963
No_Limit.2.pkl,0.7150373626604158,0.5945314106670464,0.7780026990553306
Ill_Be_Your_Baby_Tonight.1.pkl,0.6052297657274963,0.5714155253496175,0.7775382203057625
Hope_Youre_Feeling_Better.pkl,0.7329161434469406,0.5800380916976758,0.7773699329715927
Hot_Rod_Lincoln.pkl,0.6739872082676974,0.5546940997075525,0.7727737973387923
Hold_Tight.pkl,0.623904133118314,0.552932779694876,0.7719341974077767
1984.pkl,0.19150425693753356,0.4031340188970536,0.7713897691263015
Sweet_Harmony.pkl,0.5546926637095008,0.6302695488024574,0.7702174566589839
Sweet_Harmony.2.pkl,0.5540619068181031,0.6299906445124773,0.7700100300902708
Ill_Be_Over_You.pkl,0.6339456559767749,0.4413543732095219,0.7700064363870414
Hope_Work_That_We_Do_DJs.pkl,0.7218218075442477,0.6889387133854721,0.7693965517241379
We_Didnt_Start_the_Fire.1.pkl,0.7083329781807803,0.6399576973134987,0.7693757855048178
No_Limit.pkl,0.5723344910098287,0.47597081759975657,0.7686181360905407
No_Limits.pkl,0.5723344910098287,0.47597081759975657,0.7686181360905407
Hope_Has_a_Place.1.pkl,0.21049040540432462,0.14796557448837513,0.7676311030741411
Hope_Has_a_Place.pkl,0.21167005286587076,0.1484117381432962,0.7676311030741411
"2-Part_Invention_No._1_in_C_major,_BWV_772.4.pkl",0.14069783023533036,0.2560226890357399,0.7654784240150094
A_Beautiful_Morning.pkl,0.5718478366697403,0.5085783547304467,0.7654632668518051
Ill_Be_Your_Baby_Tonight.pkl,0.6147311338141714,0.6885873485763166,0.7646629350206863
No_Scrubs.pkl,0.6156435564071883,0.5063634370408544,0.7624330527926549
Not_Enough_Time.pkl,0.7142177714871077,0.5858453977188444,0.7610619469026548
Il_battito_animale.pkl,0.805887320468465,0.5824162694005132,0.7608906098741529
